,Address,Rent,Area,Deposit,Furnishing_status
0,"Bhaskar Nagar, Glass Factory, Jp Nagar 9th Phase,","5,000",250 sqft,"50,000",Semi Furnished
1,"Standalone Building, 5th Phase, Near Mahaveer Spri","6,000",110 sqft,"30,000",Semi Furnished
2,"Standalone Building, Shreyas Colony Near Big Bazaa","5,000",230 sqft,"50,000",Semi Furnished
3,"Independent House, Annaiah Reddy Layout Near Manas","4,750",300 sqft,"50,000",Semi Furnished
4,"Standalone Building, Annaiah Reddy Layout, 6thphas","5,500",250 sqft,"20,000",Semi Furnished
5,"3rd Phase,near Ekya SchoolExplore Nearby","6,000",200 sqft,"40,000",Semi Furnished
6,"Standalone Building, Vijayarangam Layout, Near Ntt","6,000",242 sqft,"30,000",Semi Furnished
7,"1st Phase, Near Sindhoor Convention CentreExplore Nearby","6,000",300 sqft,"60,000",Semi Furnished
8,"Standalone Building, 1st Phase, Near Navodaya Bak","6,000",600 sqft,"50,000",Semi Furnished
9,"Standalone Building, Kanakapura Road, Near Sri Uma","5,000",200 sqft,"30,000",Semi Furnished
